Unnamed: 0,id_realEstates,isNew,realEstate_name,phone_realEstate,url_inmueble,rooms,bathrooms,surface,price,date,description,address,country,level1,level2,level3,level4,level5,level6,level7,level8,upperLevel,countryId,level1Id,level2Id,level3Id,level4Id,level5Id,level6Id,level7Id,level8Id,accuracy,latitude,longitude,zipCode,customZone,pps
2,153867863,False,tecnocasa fuenlabrada ferrocarril,916358736.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-trastero/152648927/d,3.0,1.0,,89000,2019-12-28T18:27:15.9975027Z,"""""Agencia inmobiliaria de FUENLABRADA - zona Fuenlabrada Central - San Andrés - Tomás y Valiente - Vende piso céntrico y bien comunicado en Calle Polvoranca de 75 m² Construidos y 60 m² útiles aprox.

Se trata de una 4ª Planta en finca SIN ASCENSOR y construida en el año 1974. Compuesto de tres dormitorios, salón de paso y orientación Este, cuarto de baño completo con bañera, cocina con acceso a terraza y hall. PARA ENTRAR A VIVIR

El piso dispone de ventanas de aluminio, suelos de gress y cocina amueblada.

Ubicado en una zona tranquila junto a centro comercial Carrefour y muy bien comunicado a escasos 10 minutos de la Renfe (Fuenlabrada Central) y metro Sur (Fuenlabrada Central).

No dudes en llamarnos y concertar tu cita para visitar el inmueble en la que además recibirás el asesoramiento gratuito de nuestro departamento financiero Kíron. "".""","Calle Polvoranca, 6, Fuenlabrada",España,Madrid,Madrid,Zona Sur de Madrid,"Fuenlabrada, Zona de",Fuenlabrada,,Centro,,Centro,0,0,0,0,0,0,0,0,0,1,"40,28674","-3,79351",,,
4,152776331,False,tecnocasa fuenlabrada ferrocarril,916358736.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-trastero/152648927/d,3.0,1.0,86.0,89000,2019-12-28T18:27:15.9975027Z,"Agencia inmobiliaria de FUENLABRADA - zona Fuenlabrada Central - San Andrés - Tomás y Valiente - Vende piso céntrico y bien comunicado en Barrio San Andrés de 86 m² Construidos y 68 m² útiles. 
 
Se trata de una planta baja en finca construida en el año 1971. Compuesto de tres dormitorios, salón comunicado con amplia terraza acristalada, cuarto de baño completo con bañera y cocina con acceso a terraza. PARA REFORMAR 
 
Ubicado en una zona tranquila junto a Calle Leganés, muy bien comunicado a escasos 5 minutos de la Renfe (Fuenlabrada Central) y metro Sur (Fuenlabrada Central). 
 
No dudes en llamarnos y concertar tu cita para visitar el inmueble en la que además recibirás el asesoramiento gratuito de nuestro departamento financiero Kíron.","Barrio San Andres, Fuenlabrada",España,Madrid,Madrid,Zona Sur de Madrid,"Fuenlabrada, Zona de",Fuenlabrada,,Centro,,Centro,0,0,0,0,0,0,0,0,0,0,"40,2853785786438","-3,79508142135624",,,1034.8837209302326
86,153152077,False,sinergical inmobiliaria,,https://www.fotocasa.es/es/comprar/vivienda/leganes/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-piscina/153995577/d,1.0,1.0,50.0,107000,2019-12-28T18:30:53.960102Z,"¡oportunidad! vivienda de obra nueva, local adaptado a vivienda, y reformado completamente. Entrada independiente desde el portal. Bajo de 1 dormitorio, 1 baño, cocina amueblada, salón de 20m2. Armarios Empotrados. ¡no dejes escapar esta oportunidad! Llave en mano.","Avenida Carabancheles, 18, Alcorcón",España,Madrid,Madrid,Zona Suroeste,"Alcorcón, Zona de",Alcorcón,,Centro,Casco Antiguo,Casco Antiguo,0,0,0,0,0,0,0,0,0,1,"40,35059","-3,82693",,,2140.0
95,153995577,False,viviendas365com,911226014.0,https://www.fotocasa.es/es/comprar/vivienda/leganes/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-piscina/153995577/d,3.0,2.0,120.0,320000,2019-12-28T18:30:53.960102Z,"VIVIENDAS365-VENDE- Hermosa Vivienda en el Barrio mas Buscado y mas lindo de Leganés LOS PINOS Un lugar con mucha tranquilidad, donde solo escucharas el ruido de los pájaros 
con mucho verde, arboles, dentro de la urbanización tienes parque infantil para los mas pequeños de la casa, pista de fútbol, baloncesto y una gran piscina! 
zona residencial y muy tranquila, tienes al lado el centro de salud Huerta De Los Frailes, paradas de autobuses, Hospital severo Ochoa, Metro. 
 
el Piso consta De Hall recibidor con un armario, amplio salón con salida a una terraza con doble ventanas y puertas de aluminio, Tres Dormitorios con armarios empotrados, dos baños completamente Reformados y uno de ellos en Suite, preciosa cocina grande, cómoda y también reformada, aire acondicionado, suelo de tarima, puertas de roble.. . 
 
Incluye en el precio UNA PLAZA DE GARAJE Y TRASTERO! 
Si quieres saber mas del piso y poder visitarlo cuando quieras, No dudes en contactar con nosotros en cualquiera de Nuestras Oficinas. 
 
MUY IMPORTANTE: si no sabes hasta cuanto puedes comprar, no te preocupes Tenemos nuestro departamento Financiero FINANCIA365 Que pueden sacarte todas las dudas que tengas para que puedas financiar tu piso al 100%, asesoramiento Gratuito! 
MAS FÁCIL IMPOSIBLE! 
 
por eso Llámanos al 910.327. 566910.391. 375910.722. 294 o bien personalmente en nuestras oficinas de la Av Rey Juan Carlos I Nº86, El Carrascal, Leganés o en Av Gibraltar N. º 7, Metro Casa del Reloj, VIVIENDAS 365  EXPERIENCIA A SU SERVICIO. . . . . . .","Avenida Los Pinos, Leganés",España,Madrid,Madrid,Zona Sur de Madrid,"Leganés, Zona de",Leganés,,Valdepelayo - Montepinos - Arroyo Culebro,,Valdepelayo - Montepinos - Arroyo Culebro,0,0,0,0,0,0,0,0,0,0,"40,31933","-3,77574",,,2666.6666666666665
110,153586414,False,area uno asesores inmobiliarios,912664081.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/simancas/151265251/d,3.0,3.0,142.0,425000,2019-12-28T18:32:32.5337942Z,"AREA UNO asesores inmobiliarios oficina de las Retamas VENDE EXCLUSIVO BAJO DÚPLEX CON JARDÍN con REFORMA DE DISEÑO, zona Las Retamas, Alcorcón. 
La vivienda está situada en una exclusiva urbanización privada con pocos vecinos, cuenta con piscina comunitaria, zonas verdes, ASCENSOR, conserje y videoportero. 
La vivienda tiene una superficie construida de 142m², distribuidos en dos plantas. En planta principal encontramos: entrada CON PUERTA ACORAZADA, dos armarios empotrados, un aseo con puerta corredera, amplio salón independiente de 30m², cocina office independiente de diseño de 11,5m² con salida al patio. 
El jardín tiene una superficie de 40m², con acceso desde la cocina y el salón. Tiene una bodega  trastero situado debajo de la escalera. 
En planta primera, accediendo mediante escalera de SILESTONE con barandilla de acero inoxidable y cristal encontramos: 3 habitaciones amplias con armarios empotrados, dos baños completos, uno de gran tamaño con bañera y armario de dos puertas, y otro en suite con plato de ducha. 
El dormitorio infantil tiene una superficie de 11,70m2 y el dormitorio juvenil tiene una superficie de 9,43m2. 
El dormitorio principal tiene una superficie de 13m2, en el cual destacamos: armario de gran capacidad con puertas correderas, vestidor y baño en suite. 
En cuanto a calidades y mejoras destacamos: puerta principal acorazada, alarma, cerramientos en aluminio climalit con rotura de puente térmico con gas argón, puertas PVC en color blanco, suelos de tarima AC-5 marca QUICKSTEP, aire acondicionado en salón y dormitorios, mosquiteras en ventanas, toldos eléctricos en todas las estancias, cortavientos eléctrico en terraza del salón, caldera gas natural, paredes en liso, recién pintado,  azulejos porcelánico marca PORCELANOSA, 7 armarios empotrados, un vestidor y encimera cocina marca SILESTONE.  
Ubicada en la mejor zona de las Retamas, con grandes parques y muy próxima al Centro Unificado de Seguridad. 
La vivienda cuenta con doble acceso: de",Alcorcón,España,Madrid,Madrid,Zona Suroeste,"Alcorcón, Zona de",Alcorcón,,Prado Santo Domingo - Ensanche,,Prado Santo Domingo - Ensanche,0,0,0,0,0,0,0,0,0,0,"40,3313411","-3,8313868",,,2992.957746478873
162,153440116,False,prolucisa,916350416.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/153984375/d,3.0,2.0,123.0,239500,2019-12-28T18:36:34.2072664Z,"Piso amplisimo, impecable, en perfecto estado para entrar a vivir y con calidades de primera, ubicado en barrio de la fuente, residencial y rodeado de zonas verdes. Zonas comunes en recinto cerrado, con piscina comunitaria, jardín, una plaza de garaje. Edificio construido en 2001. Vivienda exterior y muy luminosa, superficie: 123 m², tres habitaciones (una tipo suite), armarios empotrados en habitaciones y pasillo, dos baños, cocina amueblada y con tendedero, comedor independiente, trastero, ascensor, puerta blindada, aire acondicionado con bomba de calor, calefacción de gas natural, suelos de gres cerámico, pintura acabada en liso, vidrios dobles de climalit y doble ventana, carpintería exterior aluminio lacado blanco con contraventanas, carpintería interior puertas de roble. Póngase en contacto y pásenos su propuesta. Prolucisa s.l. Teléfono comercial prolucisa e-mail comercial: inmobiliaria prolucisa",Fuenlabrada,España,Madrid,Madrid,Zona Sur de Madrid,"Fuenlabrada, Zona de",Fuenlabrada,,El Arroyo - La Fuente,,El Arroyo - La Fuente,0,0,0,0,0,0,0,0,0,0,"40,2744807718156","-3,79192471504211",,,1947.1544715447155
170,153920011,False,grupo tizona,911226046.0,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/153984375/d,6.0,2.0,195.0,290000,2019-12-28T18:36:34.2072664Z,"Grupo Tizona Getafe, vende una fantástica casa de dos plantas en una de las mejores zonas del casco antiguo de la Ciudad. Rodeado de todos los servicios, junto al Teatro Auditorio Federico García Lorca, Getafe Central (cercanías y metro sur), parques, zonas de ocio, Cl Toledo. 
 
Consta de dos plantas, la baja, integrada por dos viviendas: una exterior y otra interior, en el testero del inmueble, ambas están distribuidas en dos dormitorios dobles, amplio comedor con chimenea, cocina, aseo y patio. la planta alta integra una vivienda, que se distribuye también en dos dormitorios dobles, amplio comedor, cocina, terraza de 20 m2 y baño. Todo exterior, muy luminoso y en una calle muy tranquila. 
 
El inmueble tiene muchas posibilidades. Se permite hacer vivienda unifamiliar ó vivienda plurifamiliar, donde se puede hacer bajo más tres alturas y ático. Ideal para inversores donde se obtiene una fantástica rentabilidad o particulares que se quieran hacer una vivienda de ensueño. 
 
Si el inmueble entra dentro de sus parámetros de búsqueda, déjenos un teléfono y el comercial se pondrá en contacto para resolver dudas y organizar una visita. 
 
COMISIÓN DE LA AGENCIA INCLUIDA EN EL PRECIO.","Calle General Castaños, Getafe",España,Madrid,Madrid,Zona Sur de Madrid,"Getafe, Zona de",Getafe,,Centro,,Centro,0,0,0,0,0,0,0,0,0,0,"40,31111","-3,73066",,,1487.179487179487
190,153950689,False,bidx1 espana,914892974.0,https://www.fotocasa.es/es/comprar/vivienda/fuenlabrada/calefaccion-trastero-ascensor/153950663/d,3.0,1.0,60.0,60000,2019-12-28T18:38:30.0840614Z,"Piso de 60 m2 aproximados en 1ª planta exterior a calle y con terraza. Vivienda situada en el centro de la Plaza del Carmen, en finca de 3 alturas. 
Se distribuye en vestíbulo, salón comedor, cocina, 3 habitaciones, 2 baños y 1 baños. 
Consultar documentación e información adicional y detallada en el apartado legal. 
 
Leganés es un municipio de la Comunidad Autónoma de Madrid con 187.173 habitantes, ubicada en la Meseta Central y con los distritos madrileños de Carabanchel y Latina. 
Se trata de una ciudad muy bien comunicada con el área metropolitana de Madrid. El uso predominante en el entorno es el residencial, con actividad comercial. El nivel de ocupación se considera alto. 
La vivienda se ubica en mitad de la Plaza del Carmen, cerca al metro de La fortuna. 
Bien comunicada a través de la M-40, la M-50, M-45, M-402, M-406, M-407, además de la M-411. Tiene buenas comunicaciones con autobuses interurbanos que la comunican con Getafe y Fuenlabrada, y trenes con la línea C-5, también cuenta con Metro. 
 
Venta a partir de un proceso de ofertas a través de nuestra plataforma online BidX1 El importe indicado es el Precio Mínimo de Venta que la parte vendedora aceptaría para  vender la propiedad. Infórmate de las ventajas de nuestro Markeplace inmobiliario en nuestra Web. 
 
Puede consultar la información relativa a este inmueble, así como el proceso de compra, dándose de alta en la página web de BidX1 (https bidx1 enspain) o llamándonos al teléfono publicado. Toda la documentación facilitada es a efectos informativos. BidX1 pone a su disposición toda la información y documentación facilitados por la propiedad yo su representante para que los interesados puedan llevar a cabo un proceso de diligencia debida en relación con el inmueble en venta, con carácter previo a la emisión de una oferta vinculante por dicho inmueble. 
NO COBRAMOS COMISIÓN AL COMPRADOR","Del Carmen, Leganés",España,Madrid,Madrid,Zona Sur de Madrid,"Leganés, Zona de",Leganés,,La Fortuna,,La Fortuna,0,0,0,0,0,0,0,0,0,0,"40,356919","-3,77769",,,1000.0
194,153925845,False,inmobiliaria nuevo leganes,918007516.0,https://www.fotocasa.es/es/comprar/vivienda/fuenlabrada/calefaccion-trastero-ascensor/153950663/d,3.0,1.0,70.0,140000,2019-12-28T18:38:30.0840614Z,"OPORTUNIDAD PISO EN MUY BUENA ZONA CON MUCHA LUZ DE 3 DORMITORIOS , SALON , COCINA BAÑO Y TERRAZA.",Leganés,España,Madrid,Madrid,Zona Sur de Madrid,"Leganés, Zona de",Leganés,,Centro de Leganés,,Centro de Leganés,0,0,0,0,0,0,0,0,0,0,"40,3274","-3,77152",,,2000.0
215,153950663,False,bidx1 espana,914892974.0,https://www.fotocasa.es/es/comprar/vivienda/fuenlabrada/calefaccion-trastero-ascensor/153950663/d,4.0,2.0,175.0,184000,2019-12-28T18:38:30.099689Z,"Piso de 175 m2 aproximados en 1ª planta exterior con vistas a la glorieta de Av. de Europa y con 3 terrazas. Vivienda situada en Fuenlabrada, en finca de 5 alturas. 
La vivienda se distribuye en vestíbulo o hall de entrada, luminoso salón-comedor con puerta a terraza con vistas a la calle, cocina con acceso a patio interior, 4 dormitorios con armarios empotrados y uno de ellos con acceso a terraza con vistas a la calle y 2 baños. Pertenece a la vivienda un trastero de unos 10m2 aproximados. 
Consultar documentación e información adicional y detallada en el apartado legal. 
 
Fuenlabrada es una ciudad y un municipio español de la Comunidad de Madrid, situado al sur de Madrid, en el borde externo del área metropolitana de la capital. Con 194.669 habitantes, es el tercer municipio madrileño más poblado tras Madrid y Móstoles. 
La vivienda se localiza cerca del centro de Fuenlabrada, a menos de 500m del Ayuntamiento, está rodeada de todos los servicios básicos, está próxima a zonas escolares, jardines y de ocio. 
Las comunicaciones son buenas: cuenta con una línea de tren de cercanías, Línea C-5, con dos estaciones: Fuenlabrada Central y La Serna la cual comunica con Madrid. Conecta con Getafe, Leganés, Alcorcón y Móstoles, mediante la línea 12 de metro. Líneas de buses varios y autopista M-50, autovía A-42, que conectan con Madrid. 
 
Venta a partir de un proceso de ofertas a través de nuestra plataforma online BidX1 El importe indicado es el Precio Mínimo de Venta que la parte vendedora aceptaría para  vender la propiedad. Infórmate de las ventajas de nuestro Markeplace inmobiliario en nuestra Web. 
 
Puede consultar la información relativa a este inmueble, así como el proceso de compra, dándose de alta en la página web de BidX1 (https bidx1 enspain) o llamándonos al teléfono publicado. Toda la documentación facilitada es a efectos informativos. BidX1 pone a su disposición toda la información y documentación facilitados por la propiedad yo su represen","De España, Fuenlabrada",España,Madrid,Madrid,Zona Sur de Madrid,"Fuenlabrada, Zona de",Fuenlabrada,,La Serna,,La Serna,0,0,0,0,0,0,0,0,0,0,"40,2906814213562","-3,80405242135624",,,1051.4285714285713
